size,clue_density,n_clues,num_vars,n_clauses,status,wall_time_s,dp_calls,unit_clause_checks,pure_literal_checks,remove_literal_calls,select_literal_calls,model_len,model_cnf_valid,model_semantic_valid,error,expected_status,is_correct
25,0.1872,117,15625,810217,UNSAT,426.8967214430013,1,6497,0,6497,0,0,,,,UNSAT,True
25,0.1904,119,15625,810219,UNSAT,270.3945725550002,1,3562,0,3562,0,0,,,,UNSAT,True
25,0.184,115,15625,810215,TIMEOUT,600.0000712699984,1,10819,1201,9617,1201,0,,,,SAT,False
25,0.192,120,15625,810220,TIMEOUT,600.0000533030034,1,11046,1185,9860,1185,0,,,,SAT,False
25,0.2192,137,15625,810237,TIMEOUT,600.0001691959988,1,11825,1175,10650,1174,0,,,,SAT,False
25,0.2,125,15625,810225,TIMEOUT,600.098321669997,1,11247,1211,10035,1211,0,,,,SAT,False
25,0.1824,114,15625,810214,UNSAT,420.8026468349999,1,6469,0,6469,0,0,,,,UNSAT,True
25,0.216,135,15625,810235,UNSAT,164.2903537450038,1,1971,0,1971,0,0,,,,UNSAT,True
25,0.2112,132,15625,810232,TIMEOUT,600.0001745949994,1,11434,1150,10284,1149,0,,,,SAT,False
25,0.2096,131,15625,810231,UNSAT,264.07635799200216,1,3403,0,3403,0,0,,,,UNSAT,True
