size,clue_density,n_clues,num_vars,n_clauses,status,wall_time_s,dp_calls,unit_clause_checks,pure_literal_checks,remove_literal_calls,select_literal_calls,model_len,model_cnf_valid,model_semantic_valid,error,expected_status,is_correct
9,0.09876543209876543,8,729,14300,TIMEOUT,120.00006983798812,1,347295,8619,347412,8619,0,,,,,
9,0.06172839506172839,5,729,14297,UNSAT,0.1541835810057819,1,88,0,88,0,0,,,,UNSAT,True
9,0.14814814814814814,12,729,14304,UNSAT,0.17045896599302068,1,105,0,105,0,0,,,,UNSAT,True
9,0.12345679012345678,10,729,14302,UNSAT,0.2930299289873801,1,203,0,203,0,0,,,,UNSAT,True
9,0.037037037037037035,3,729,14295,TIMEOUT,120.0000643050007,1,268844,7415,268755,7415,0,,,,,
9,0.1111111111111111,9,729,14301,UNSAT,0.0915833719773218,1,50,0,50,0,0,,,,UNSAT,True
9,0.07407407407407407,6,729,14298,UNSAT,0.17728656000690535,1,104,0,104,0,0,,,,UNSAT,True
9,0.08641975308641975,7,729,14299,TIMEOUT,120.00004557400825,1,312536,8307,312547,8307,0,,,,,
9,0.07407407407407407,6,729,14298,UNSAT,0.2273920270090457,1,148,0,148,0,0,,,,UNSAT,True
9,0.09876543209876543,8,729,14300,UNSAT,0.3103054700186476,1,213,0,213,0,0,,,,UNSAT,True
9,0.07407407407407407,6,729,14298,TIMEOUT,120.00004693999654,1,345552,8143,345664,8143,0,,,,,
9,0.12345679012345678,10,729,14302,UNSAT,0.2692919700057246,1,183,0,183,0,0,,,,UNSAT,True
9,0.1111111111111111,9,729,14301,UNSAT,0.08577752698329277,1,45,0,45,0,0,,,,UNSAT,True
9,0.13580246913580246,11,729,14303,TIMEOUT,120.00003763500717,1,390954,9598,391070,9598,0,,,,,
9,0.13580246913580246,11,729,14303,UNSAT,0.23642581299645826,1,156,0,156,0,0,,,,UNSAT,True
9,0.1111111111111111,9,729,14301,TIMEOUT,120.0000408400083,1,332793,8431,332891,8431,0,,,,,
9,0.20987654320987653,17,729,14309,UNSAT,0.03455663699423894,1,13,0,13,0,0,,,,UNSAT,True
9,0.07407407407407407,6,729,14298,TIMEOUT,120.00004055298632,1,330441,8134,330513,8134,0,,,,,
9,0.09876543209876543,8,729,14300,TIMEOUT,120.00005131601938,1,342105,7481,342167,7481,0,,,,,
9,0.07407407407407407,6,729,14298,UNSAT,0.1869092209963128,1,117,0,117,0,0,,,,UNSAT,True
9,0.07407407407407407,6,729,14298,TIMEOUT,120.00003739900421,1,323925,7610,323917,7610,0,,,,,
9,0.09876543209876543,8,729,14300,UNSAT,0.33473570298519917,1,248,0,248,0,0,,,,,
9,0.07407407407407407,6,729,14298,TIMEOUT,120.00003311299952,1,324349,7661,324298,7661,0,,,,,
9,0.12345679012345678,10,729,14302,TIMEOUT,120.00003084901255,1,345142,8069,345179,8069,0,,,,,
9,0.13580246913580246,11,729,14303,UNSAT,0.031105367001146078,1,12,0,12,0,0,,,,UNSAT,True
9,0.09876543209876543,8,729,14300,UNSAT,0.05609548499342054,1,26,0,26,0,0,,,,UNSAT,True
9,0.1111111111111111,9,729,14301,UNSAT,0.21059332301956601,1,132,0,132,0,0,,,,UNSAT,True
9,0.024691358024691357,2,729,14294,TIMEOUT,120.00002964001033,1,269922,7151,269777,7151,0,,,,,
9,0.08641975308641975,7,729,14299,UNSAT,0.16800296498695388,1,103,0,103,0,0,,,,UNSAT,True
9,0.13580246913580246,11,729,14303,UNSAT,0.07070458200178109,1,35,0,35,0,0,,,,UNSAT,True
9,0.16049382716049382,13,729,14305,UNSAT,0.19544032000703737,1,126,0,126,0,0,,,,UNSAT,True
9,0.16049382716049382,13,729,14305,UNSAT,0.269822150003165,1,190,0,190,0,0,,,,UNSAT,True
9,0.12345679012345678,10,729,14302,UNSAT,0.21020865000900812,1,138,0,138,0,0,,,,UNSAT,True
9,0.09876543209876543,8,729,14300,TIMEOUT,120.00002836302156,1,343049,7263,343159,7263,0,,,,,
9,0.1111111111111111,9,729,14301,TIMEOUT,120.00003814999945,1,335510,8166,335561,8166,0,,,,,
9,0.09876543209876543,8,729,14300,UNSAT,0.2745558850001544,1,188,0,188,0,0,,,,UNSAT,True
9,0.04938271604938271,4,729,14296,TIMEOUT,120.0000473120017,1,268354,7321,268309,7321,0,,,,,
9,0.1111111111111111,9,729,14301,UNSAT,0.32758614397607744,1,245,0,245,0,0,,,,UNSAT,True
