size,clue_density,n_clues,num_vars,n_clauses,status,wall_time_s,dp_calls,unit_clause_checks,pure_literal_checks,remove_literal_calls,select_literal_calls,model_len,model_cnf_valid,model_semantic_valid,error,expected_status,is_correct
9,0.09876543209876543,8,729,14300,UNSAT,35.44105150399264,1,107959,1353,108387,1353,0,,,,,
9,0.06172839506172839,5,729,14297,UNSAT,0.13523492301465012,1,88,0,88,0,0,,,,UNSAT,True
9,0.14814814814814814,12,729,14304,UNSAT,0.14970752398949116,1,105,0,105,0,0,,,,UNSAT,True
9,0.12345679012345678,10,729,14302,UNSAT,0.25812000199221075,1,203,0,203,0,0,,,,UNSAT,True
9,0.037037037037037035,3,729,14295,TIMEOUT,120.000031381991,1,627113,8437,629467,8437,0,,,,,
9,0.1111111111111111,9,729,14301,UNSAT,0.08300468500237912,1,50,0,50,0,0,,,,UNSAT,True
9,0.07407407407407407,6,729,14298,UNSAT,0.15970243600895628,1,104,0,104,0,0,,,,UNSAT,True
9,0.08641975308641975,7,729,14299,TIMEOUT,120.00002568899072,1,352268,5456,353722,5456,0,,,,,
9,0.07407407407407407,6,729,14298,UNSAT,0.20423158301855437,1,148,0,148,0,0,,,,UNSAT,True
9,0.09876543209876543,8,729,14300,UNSAT,0.2768177980033215,1,213,0,213,0,0,,,,UNSAT,True
9,0.07407407407407407,6,729,14298,TIMEOUT,120.00002382902312,1,508193,7398,510303,7398,0,,,,,
9,0.12345679012345678,10,729,14302,UNSAT,0.24280335300136358,1,183,0,183,0,0,,,,UNSAT,True
9,0.1111111111111111,9,729,14301,UNSAT,0.07828741997946054,1,45,0,45,0,0,,,,UNSAT,True
9,0.13580246913580246,11,729,14303,UNSAT,3.5521898150036577,1,9497,109,9527,109,0,,,,,
9,0.13580246913580246,11,729,14303,UNSAT,0.21495387799222954,1,156,0,156,0,0,,,,UNSAT,True
9,0.1111111111111111,9,729,14301,TIMEOUT,120.00002317101462,1,544589,7497,546750,7497,0,,,,,
9,0.20987654320987653,17,729,14309,UNSAT,0.03233739998540841,1,13,0,13,0,0,,,,UNSAT,True
