size,clue_density,n_clues,num_vars,n_clauses,status,wall_time_s,dp_calls,unit_clause_checks,pure_literal_checks,remove_literal_calls,select_literal_calls,model_len,model_cnf_valid,model_semantic_valid,error,expected_status,is_correct
9,0.09876543209876543,8,729,14300,TIMEOUT,120.0000546349911,1,332626,4362,333481,4362,0,,,,,
9,0.06172839506172839,5,729,14297,UNSAT,0.13394850899931043,1,88,0,88,0,0,,,,UNSAT,True
9,0.14814814814814814,12,729,14304,UNSAT,0.14712489198427647,1,105,0,105,0,0,,,,UNSAT,True
9,0.12345679012345678,10,729,14302,UNSAT,0.2541803559870459,1,203,0,203,0,0,,,,UNSAT,True
9,0.037037037037037035,3,729,14295,TIMEOUT,120.00002327098628,1,293837,3753,294552,3753,0,,,,,
9,0.1111111111111111,9,729,14301,UNSAT,0.08108748000813648,1,50,0,50,0,0,,,,UNSAT,True
9,0.07407407407407407,6,729,14298,UNSAT,0.15475374399102293,1,104,0,104,0,0,,,,UNSAT,True
9,0.08641975308641975,7,729,14299,TIMEOUT,120.00004573102342,1,330325,4051,331150,4051,0,,,,,
9,0.07407407407407407,6,729,14298,UNSAT,0.19784846500260755,1,148,0,148,0,0,,,,UNSAT,True
9,0.09876543209876543,8,729,14300,UNSAT,0.2710486529977061,1,213,0,213,0,0,,,,UNSAT,True
9,0.07407407407407407,6,729,14298,TIMEOUT,120.00002403897815,1,355343,4520,356216,4520,0,,,,,
9,0.12345679012345678,10,729,14302,UNSAT,0.23532608099048957,1,183,0,183,0,0,,,,UNSAT,True
9,0.1111111111111111,9,729,14301,UNSAT,0.07618927001021802,1,45,0,45,0,0,,,,UNSAT,True
9,0.13580246913580246,11,729,14303,TIMEOUT,120.00004559700028,1,358491,4754,359225,4754,0,,,,,
9,0.13580246913580246,11,729,14303,UNSAT,0.20861986401723698,1,156,0,156,0,0,,,,UNSAT,True
9,0.1111111111111111,9,729,14301,TIMEOUT,120.00003368299804,1,335480,4347,336415,4347,0,,,,,
9,0.20987654320987653,17,729,14309,UNSAT,0.03105068000149913,1,13,0,13,0,0,,,,UNSAT,True
9,0.07407407407407407,6,729,14298,TIMEOUT,120.00004112898023,1,327028,3874,327787,3874,0,,,,,
9,0.09876543209876543,8,729,14300,TIMEOUT,120.00003390898928,1,314681,4119,315334,4119,0,,,,,
9,0.07407407407407407,6,729,14298,UNSAT,0.1659823049849365,1,117,0,117,0,0,,,,UNSAT,True
9,0.07407407407407407,6,729,14298,TIMEOUT,120.00002605901682,1,324273,3746,325157,3746,0,,,,,
9,0.09876543209876543,8,729,14300,UNSAT,0.29600145199219696,1,248,0,248,0,0,,,,,
9,0.07407407407407407,6,729,14298,TIMEOUT,120.00003370200284,1,335400,3895,336237,3895,0,,,,,
9,0.12345679012345678,10,729,14302,TIMEOUT,120.00004131300375,1,352037,4065,352924,4065,0,,,,,
9,0.13580246913580246,11,729,14303,UNSAT,0.02743760298471898,1,12,0,12,0,0,,,,UNSAT,True
9,0.09876543209876543,8,729,14300,UNSAT,0.0496923899918329,1,26,0,26,0,0,,,,UNSAT,True
9,0.1111111111111111,9,729,14301,UNSAT,0.18220228698919527,1,132,0,132,0,0,,,,UNSAT,True
9,0.024691358024691357,2,729,14294,TIMEOUT,120.00003832799848,1,274252,3637,274865,3637,0,,,,,
