size,clue_density,n_clues,num_vars,n_clauses,status,wall_time_s,dp_calls,unit_clause_checks,pure_literal_checks,remove_literal_calls,select_literal_calls,model_len,model_cnf_valid,model_semantic_valid,error,expected_status,is_correct
9,0.2839506172839506,23,729,14315,UNSAT,0.1614382419793401,1,85,0,85,0,0,,,,UNSAT,True
9,0.4074074074074074,33,729,14325,UNSAT,0.048328031989512965,1,26,0,26,0,0,,,,UNSAT,True
9,0.38271604938271603,31,729,14323,UNSAT,0.07716809801058844,1,48,0,48,0,0,,,,UNSAT,True
9,0.32098765432098764,26,729,14318,UNSAT,0.03737410900066607,1,18,0,18,0,0,,,,UNSAT,True
9,0.2839506172839506,23,729,14315,UNSAT,0.1629075670207385,1,115,0,115,0,0,,,,UNSAT,True
9,0.2839506172839506,23,729,14315,UNSAT,0.046294930012663826,1,25,0,25,0,0,,,,UNSAT,True
9,0.32098765432098764,26,729,14318,UNSAT,0.03749494202202186,1,19,0,19,0,0,,,,UNSAT,True
9,0.25925925925925924,21,729,14313,UNSAT,0.11446104999049567,1,76,0,76,0,0,,,,UNSAT,True
9,0.2716049382716049,22,729,14314,UNSAT,0.07437204700545408,1,44,0,44,0,0,,,,UNSAT,True
9,0.2716049382716049,22,729,14314,UNSAT,0.08274910898762755,1,52,0,52,0,0,,,,UNSAT,True
9,0.30864197530864196,25,729,14317,UNSAT,0.12393442500615492,1,83,0,83,0,0,,,,UNSAT,True
9,0.38271604938271603,31,729,14323,UNSAT,0.02630560300895013,1,11,0,11,0,0,,,,UNSAT,True
9,0.2222222222222222,18,729,14310,UNSAT,0.048142282001208514,1,25,0,25,0,0,,,,UNSAT,True
9,0.345679012345679,28,729,14320,UNSAT,0.2277497439936269,1,179,0,179,0,0,,,,UNSAT,True
9,0.2839506172839506,23,729,14315,UNSAT,0.14390034999814816,1,99,0,99,0,0,,,,UNSAT,True
9,0.25925925925925924,21,729,14313,UNSAT,0.2216704309976194,1,168,0,168,0,0,,,,UNSAT,True
9,0.3333333333333333,27,729,14319,UNSAT,0.04450594598893076,1,24,0,24,0,0,,,,UNSAT,True
9,0.2962962962962963,24,729,14316,UNSAT,0.12889333799830638,1,88,0,88,0,0,,,,UNSAT,True
9,0.2345679012345679,19,729,14311,UNSAT,0.1323042759904638,1,89,0,89,0,0,,,,UNSAT,True
9,0.2345679012345679,19,729,14311,UNSAT,0.041670224018162116,1,22,0,22,0,0,,,,UNSAT,True
9,0.37037037037037035,30,729,14322,UNSAT,0.04354571798467077,1,23,0,23,0,0,,,,UNSAT,True
9,0.32098765432098764,26,729,14318,UNSAT,0.21496266798931174,1,158,0,158,0,0,,,,UNSAT,True
9,0.2962962962962963,24,729,14316,UNSAT,0.1558472840115428,1,111,0,111,0,0,,,,UNSAT,True
9,0.24691358024691357,20,729,14312,UNSAT,0.13074347100337036,1,89,0,89,0,0,,,,UNSAT,True
9,0.2222222222222222,18,729,14310,UNSAT,0.14928600398707204,1,106,0,106,0,0,,,,UNSAT,True
9,0.345679012345679,28,729,14320,UNSAT,0.04445625699008815,1,21,0,21,0,0,,,,UNSAT,True
9,0.345679012345679,28,729,14320,UNSAT,0.12131283801863901,1,82,0,82,0,0,,,,UNSAT,True
9,0.3950617283950617,32,729,14324,UNSAT,0.04410557801020332,1,22,0,22,0,0,,,,UNSAT,True
9,0.25925925925925924,21,729,14313,UNSAT,0.15137851698091254,1,108,0,108,0,0,,,,UNSAT,True
9,0.35802469135802467,29,729,14321,UNSAT,0.08015803899616003,1,50,0,50,0,0,,,,UNSAT,True
9,0.4074074074074074,33,729,14325,UNSAT,0.06022812699666247,1,34,0,34,0,0,,,,UNSAT,True
9,0.20987654320987653,17,729,14309,UNSAT,0.13356013901648112,1,92,0,92,0,0,,,,UNSAT,True
9,0.2962962962962963,24,729,14316,UNSAT,0.040165493002859876,1,20,0,20,0,0,,,,UNSAT,True
9,0.2962962962962963,24,729,14316,UNSAT,0.1454363279917743,1,102,0,102,0,0,,,,UNSAT,True
9,0.2716049382716049,22,729,14314,UNSAT,0.03682185200159438,1,18,0,18,0,0,,,,UNSAT,True
