size,clue_density,n_clues,num_vars,n_clauses,status,wall_time_s,dp_calls,unit_clause_checks,pure_literal_checks,remove_literal_calls,select_literal_calls,model_len,model_cnf_valid,model_semantic_valid,error,expected_status,is_correct
9,0.09876543209876543,8,729,14300,TIMEOUT,120.00003670698788,1,580303,10600,580282,10600,0,,,,SAT,False
9,0.08641975308641975,7,729,14299,TIMEOUT,120.0000302670087,1,545938,9317,545921,9317,0,,,,SAT,False
9,0.20987654320987653,17,729,14309,SAT,0.4563523120013997,1,729,0,729,0,729,True,True,,SAT,True
9,0.09876543209876543,8,729,14300,TIMEOUT,120.00002408699947,1,522843,8717,522816,8717,0,,,,SAT,False
9,0.06172839506172839,5,729,14297,TIMEOUT,120.00002721999772,1,501092,8215,501070,8215,0,,,,SAT,False
9,0.06172839506172839,5,729,14297,TIMEOUT,120.00002656600554,1,517728,9221,517704,9221,0,,,,SAT,False
9,0.09876543209876543,8,729,14300,TIMEOUT,120.00002407799184,1,503291,7940,503272,7940,0,,,,SAT,False
9,0.04938271604938271,4,729,14296,TIMEOUT,120.00002686798689,1,505686,7883,505639,7883,0,,,,SAT,False
9,0.12345679012345678,10,729,14302,TIMEOUT,120.00002642298932,1,582651,10026,582640,10026,0,,,,SAT,False
9,0.1111111111111111,9,729,14301,TIMEOUT,120.00010406698857,1,502930,8426,502913,8426,0,,,,SAT,False
9,0.09876543209876543,8,729,14300,TIMEOUT,120.0000274250051,1,591197,10173,591168,10173,0,,,,SAT,False
9,0.08641975308641975,7,729,14299,TIMEOUT,120.00002567000047,1,562116,9707,562085,9707,0,,,,SAT,False
9,0.08641975308641975,7,729,14299,TIMEOUT,120.00003087898949,1,529776,9010,529757,9010,0,,,,SAT,False
9,0.07407407407407407,6,729,14298,TIMEOUT,120.00003287900472,1,525459,9268,525440,9268,0,,,,SAT,False
9,0.09876543209876543,8,729,14300,TIMEOUT,120.00002701899211,1,548744,9763,548723,9763,0,,,,SAT,False
9,0.12345679012345678,10,729,14302,TIMEOUT,120.00003328900493,1,551773,9209,551751,9208,0,,,,SAT,False
9,0.08641975308641975,7,729,14299,TIMEOUT,120.00002489000326,1,511179,9206,511155,9206,0,,,,SAT,False
9,0.12345679012345678,10,729,14302,TIMEOUT,120.00003257300705,1,578674,9414,578643,9414,0,,,,SAT,False
9,0.09876543209876543,8,729,14300,TIMEOUT,120.00002771099389,1,515125,9050,515106,9050,0,,,,SAT,False
9,0.08641975308641975,7,729,14299,TIMEOUT,120.0000332500058,1,522331,8448,522298,8448,0,,,,SAT,False
