size,clue_density,n_clues,num_vars,n_clauses,status,wall_time_s,dp_calls,unit_clause_checks,pure_literal_checks,remove_literal_calls,select_literal_calls,model_len,model_cnf_valid,model_semantic_valid,error,expected_status,is_correct
9,0.09876543209876543,8,729,14300,SAT,110.1880643379991,1,385910,6210,387678,6210,729,True,True,,SAT,True
9,0.08641975308641975,7,729,14299,TIMEOUT,120.00003913200635,1,572589,8631,574915,8631,0,,,,SAT,False
9,0.20987654320987653,17,729,14309,SAT,0.43986339200637303,1,729,0,729,0,729,True,True,,SAT,True
9,0.09876543209876543,8,729,14300,SAT,28.0270497790043,1,145154,2420,145668,2420,729,True,True,,SAT,True
9,0.06172839506172839,5,729,14297,TIMEOUT,120.00002830500307,1,433628,6074,435346,6074,0,,,,SAT,False
9,0.06172839506172839,5,729,14297,TIMEOUT,120.00002600699372,1,721434,8828,724287,8828,0,,,,SAT,False
9,0.09876543209876543,8,729,14300,TIMEOUT,120.00002489100734,1,422167,5802,423763,5802,0,,,,SAT,False
9,0.04938271604938271,4,729,14296,TIMEOUT,120.00002531800419,1,715887,9986,718765,9986,0,,,,SAT,False
9,0.12345679012345678,10,729,14302,SAT,11.72534196000197,1,40931,542,41113,542,729,True,True,,SAT,True
9,0.1111111111111111,9,729,14301,SAT,24.067744111001957,1,73948,786,74159,786,729,True,True,,SAT,True
9,0.09876543209876543,8,729,14300,TIMEOUT,120.00002458000381,1,433129,6619,434859,6619,0,,,,SAT,False
9,0.08641975308641975,7,729,14299,TIMEOUT,120.00003102299524,1,372120,5498,373642,5498,0,,,,SAT,False
9,0.08641975308641975,7,729,14299,SAT,72.8524700190028,1,378844,6139,380305,6139,729,True,True,,SAT,True
9,0.07407407407407407,6,729,14298,TIMEOUT,120.0000267969881,1,393638,5386,395206,5386,0,,,,SAT,False
9,0.09876543209876543,8,729,14300,SAT,32.7419537879905,1,169134,2596,169841,2596,729,True,True,,SAT,True
9,0.12345679012345678,10,729,14302,SAT,25.0145278639975,1,100400,1412,100782,1412,729,True,True,,SAT,True
9,0.08641975308641975,7,729,14299,TIMEOUT,120.00002876100189,1,730583,10268,733570,10268,0,,,,SAT,False
9,0.12345679012345678,10,729,14302,SAT,45.40055605600355,1,184473,2379,185175,2379,729,True,True,,SAT,True
9,0.09876543209876543,8,729,14300,TIMEOUT,120.00002786399273,1,522973,7428,524978,7428,0,,,,SAT,False
9,0.08641975308641975,7,729,14299,TIMEOUT,120.00003004699829,1,539678,8190,542124,8190,0,,,,SAT,False
9,0.1111111111111111,9,729,14301,TIMEOUT,120.00002543500159,1,387541,6033,388862,6033,0,,,,SAT,False
9,0.024691358024691357,2,729,14294,SAT,7.293666714002029,1,37479,601,37588,601,729,True,True,,SAT,True
9,0.1111111111111111,9,729,14301,SAT,105.81153852799616,1,506299,7314,508102,7314,729,True,True,,SAT,True
9,0.07407407407407407,6,729,14298,TIMEOUT,120.00002490999759,1,690330,10643,693154,10643,0,,,,SAT,False
9,0.07407407407407407,6,729,14298,SAT,39.047336723990156,1,148848,2261,149527,2261,729,True,True,,SAT,True
9,0.09876543209876543,8,729,14300,SAT,9.759717520006234,1,54921,749,55101,749,729,True,True,,SAT,True
9,0.12345679012345678,10,729,14302,SAT,2.273100484002498,1,6542,89,6562,89,729,True,True,,SAT,True
9,0.1111111111111111,9,729,14301,TIMEOUT,120.000022748005,1,451251,6195,453018,6195,0,,,,SAT,False
9,0.06172839506172839,5,729,14297,TIMEOUT,120.00002619100269,1,721971,7468,724264,7468,0,,,,SAT,False
9,0.06172839506172839,5,729,14297,TIMEOUT,120.00002465900616,1,624705,9439,627411,9439,0,,,,SAT,False
9,0.06172839506172839,5,729,14297,SAT,13.4475582390005,1,78296,1164,78568,1164,729,True,True,,SAT,True
9,0.14814814814814814,12,729,14304,TIMEOUT,120.00002250500256,1,498393,6562,500037,6562,0,,,,SAT,False
9,0.1111111111111111,9,729,14301,SAT,86.94673290201172,1,298474,4174,299487,4174,729,True,True,,SAT,True
9,0.13580246913580246,11,729,14303,SAT,12.958162345996243,1,48663,717,48841,717,729,True,True,,SAT,True
9,0.09876543209876543,8,729,14300,TIMEOUT,120.00002911798947,1,678028,9583,680589,9583,0,,,,SAT,False
9,0.07407407407407407,6,729,14298,TIMEOUT,120.00002957100514,1,423710,6267,425504,6267,0,,,,SAT,False
9,0.1111111111111111,9,729,14301,TIMEOUT,120.00002663300256,1,703277,9004,705989,9004,0,,,,SAT,False
9,0.14814814814814814,12,729,14304,SAT,3.7453866379946703,1,15272,170,15309,170,729,True,True,,SAT,True
9,0.08641975308641975,7,729,14299,TIMEOUT,120.00002359999053,1,665050,10423,667843,10423,0,,,,SAT,False
9,0.1111111111111111,9,729,14301,SAT,77.29116452099697,1,414505,7024,416257,7024,729,True,True,,SAT,True
9,0.06172839506172839,5,729,14297,TIMEOUT,120.0000242410024,1,628999,9615,632186,9615,0,,,,SAT,False
9,0.12345679012345678,10,729,14302,SAT,12.640900684011285,1,58170,938,58374,938,729,True,True,,SAT,True
9,0.08641975308641975,7,729,14299,SAT,58.44262983401131,1,328682,5307,330063,5307,729,True,True,,SAT,True
9,0.09876543209876543,8,729,14300,TIMEOUT,120.00002518999099,1,355708,6754,357440,6754,0,,,,SAT,False
9,0.06172839506172839,5,729,14297,TIMEOUT,120.00002203400072,1,772834,9824,775686,9824,0,,,,SAT,False
9,0.1111111111111111,9,729,14301,TIMEOUT,120.00002405499981,1,446239,6645,448375,6645,0,,,,SAT,False
9,0.1728395061728395,14,729,14306,SAT,0.8122839269926772,1,3142,38,3145,38,729,True,True,,SAT,True
9,0.08641975308641975,7,729,14299,TIMEOUT,120.00001893599983,1,709940,9933,713167,9933,0,,,,SAT,False
