size,clue_density,n_clues,num_vars,n_clauses,status,wall_time_s,dp_calls,unit_clause_checks,pure_literal_checks,remove_literal_calls,select_literal_calls,model_len,model_cnf_valid,model_semantic_valid,error,expected_status,is_correct
9,0.345679012345679,28,729,14320,SAT,0.43350605497835204,1,729,0,729,0,729,True,True,,SAT,True
9,0.2839506172839506,23,729,14315,SAT,0.4294527489983011,1,729,0,729,0,729,True,True,,SAT,True
9,0.35802469135802467,29,729,14321,SAT,0.4424298919911962,1,729,0,729,0,729,True,True,,SAT,True
9,0.3333333333333333,27,729,14319,SAT,0.44622001200332306,1,729,0,729,0,729,True,True,,SAT,True
9,0.2222222222222222,18,729,14310,SAT,0.8189749129815027,1,1869,17,1864,17,729,True,True,,SAT,True
9,0.24691358024691357,20,729,14312,SAT,0.44914029497886077,1,729,0,729,0,729,True,True,,SAT,True
9,0.24691358024691357,20,729,14312,SAT,0.4478194520052057,1,729,0,729,0,729,True,True,,SAT,True
9,0.2839506172839506,23,729,14315,SAT,0.45059255001251586,1,729,0,729,0,729,True,True,,SAT,True
9,0.38271604938271603,31,729,14323,SAT,0.4418415119871497,1,729,0,729,0,729,True,True,,SAT,True
9,0.30864197530864196,25,729,14317,SAT,0.4389444940024987,1,729,0,729,0,729,True,True,,SAT,True
9,0.32098765432098764,26,729,14318,SAT,0.43808151499251835,1,729,0,729,0,729,True,True,,SAT,True
9,0.2839506172839506,23,729,14315,SAT,0.44082436300232075,1,729,0,729,0,729,True,True,,SAT,True
9,0.2962962962962963,24,729,14316,SAT,0.4427416649996303,1,729,0,729,0,729,True,True,,SAT,True
9,0.2716049382716049,22,729,14314,SAT,0.43437715398613364,1,729,0,729,0,729,True,True,,SAT,True
9,0.2839506172839506,23,729,14315,SAT,0.4441620720026549,1,729,0,729,0,729,True,True,,SAT,True
9,0.24691358024691357,20,729,14312,SAT,0.4296080339991022,1,729,0,729,0,729,True,True,,SAT,True
9,0.24691358024691357,20,729,14312,SAT,0.45557510101934895,1,937,1,936,1,729,True,True,,SAT,True
9,0.30864197530864196,25,729,14317,SAT,0.4348075400048401,1,729,0,729,0,729,True,True,,SAT,True
9,0.35802469135802467,29,729,14321,SAT,0.43945128901395947,1,729,0,729,0,729,True,True,,SAT,True
9,0.32098765432098764,26,729,14318,SAT,0.4385881870111916,1,729,0,729,0,729,True,True,,SAT,True
9,0.345679012345679,28,729,14320,SAT,0.44044938997831196,1,729,0,729,0,729,True,True,,SAT,True
9,0.14814814814814814,12,729,14304,SAT,75.22743332499522,1,220074,2901,220473,2901,729,True,True,,SAT,True
9,0.37037037037037035,30,729,14322,SAT,0.4470269370067399,1,729,0,729,0,729,True,True,,SAT,True
9,0.24691358024691357,20,729,14312,SAT,0.4535117280029226,1,851,3,848,3,729,True,True,,SAT,True
