size,clue_density,n_clues,num_vars,n_clauses,status,wall_time_s,dp_calls,unit_clause_checks,pure_literal_checks,remove_literal_calls,select_literal_calls,model_len,model_cnf_valid,model_semantic_valid,error,expected_status,is_correct
9,0.13580246913580246,11,729,14303,UNSAT,0.18894255299528595,1,144,0,144,0,0,,,,UNSAT,True
9,0.2716049382716049,22,729,14314,UNSAT,0.2172472659876803,1,168,0,168,0,0,,,,UNSAT,True
9,0.14814814814814814,12,729,14304,UNSAT,0.042926595007884316,1,23,0,23,0,0,,,,UNSAT,True
9,0.08641975308641975,7,729,14299,UNSAT,0.07287462100794073,1,44,0,44,0,0,,,,UNSAT,True
9,0.08641975308641975,7,729,14299,UNSAT,0.17280964700330514,1,123,0,123,0,0,,,,UNSAT,True
9,0.13580246913580246,11,729,14303,UNSAT,0.26692410399846267,1,217,0,217,0,0,,,,UNSAT,True
9,0.09876543209876543,8,729,14300,UNSAT,0.2208529589988757,1,167,0,167,0,0,,,,UNSAT,True
9,0.13580246913580246,11,729,14303,UNSAT,0.23691629100358114,1,186,0,186,0,0,,,,UNSAT,True
9,0.04938271604938271,4,729,14296,UNSAT,0.07528568399720825,1,46,0,46,0,0,,,,UNSAT,True
9,0.12345679012345678,10,729,14302,UNSAT,0.2995749919937225,1,258,0,258,0,0,,,,UNSAT,True
9,0.1111111111111111,9,729,14301,UNSAT,0.22441345600236673,1,172,0,172,0,0,,,,UNSAT,True
9,0.1111111111111111,9,729,14301,UNSAT,0.25389682900276966,1,205,0,205,0,0,,,,UNSAT,True
9,0.08641975308641975,7,729,14299,UNSAT,0.033983167988481,1,16,0,16,0,0,,,,UNSAT,True
9,0.1111111111111111,9,729,14301,UNSAT,0.22707108499889728,1,176,0,176,0,0,,,,UNSAT,True
9,0.1111111111111111,9,729,14301,UNSAT,0.06808975400053896,1,41,0,41,0,0,,,,UNSAT,True
9,0.09876543209876543,8,729,14300,UNSAT,0.1695843390043592,1,122,0,122,0,0,,,,UNSAT,True
9,0.1728395061728395,14,729,14306,UNSAT,0.07508917700033635,1,47,0,47,0,0,,,,UNSAT,True
9,0.12345679012345678,10,729,14302,UNSAT,0.12495390900585335,1,86,0,86,0,0,,,,UNSAT,True
9,0.1111111111111111,9,729,14301,UNSAT,0.11934504000237212,1,80,0,80,0,0,,,,UNSAT,True
9,0.1111111111111111,9,729,14301,UNSAT,0.2514214679977158,1,203,0,203,0,0,,,,UNSAT,True
9,0.07407407407407407,6,729,14298,UNSAT,0.20003572199493647,1,147,0,147,0,0,,,,UNSAT,True
9,0.12345679012345678,10,729,14302,UNSAT,0.1543714810104575,1,109,0,109,0,0,,,,UNSAT,True
9,0.09876543209876543,8,729,14300,UNSAT,0.08155597701261286,1,51,0,51,0,0,,,,UNSAT,True
9,0.1111111111111111,9,729,14301,UNSAT,0.2574420809978619,1,207,0,207,0,0,,,,UNSAT,True
