size,clue_density,n_clues,num_vars,n_clauses,status,wall_time_s,dp_calls,unit_clause_checks,pure_literal_checks,remove_literal_calls,select_literal_calls,model_len,model_cnf_valid,model_semantic_valid,error,expected_status,is_correct
9,0.32098765432098764,26,729,14318,UNSAT,0.45650370899238624,1,490,0,490,0,0,,,,UNSAT,True
9,0.4074074074074074,33,729,14325,UNSAT,0.25419243299984373,1,178,0,178,0,0,,,,UNSAT,True
9,0.345679012345679,28,729,14320,UNSAT,0.04697448099614121,1,23,0,23,0,0,,,,UNSAT,True
9,0.25925925925925924,21,729,14313,UNSAT,0.20259485000860877,1,137,0,137,0,0,,,,UNSAT,True
9,0.25925925925925924,21,729,14313,UNSAT,0.4581634899950586,1,506,0,506,0,0,,,,UNSAT,True
9,0.3333333333333333,27,729,14319,UNSAT,0.2973771770193707,1,224,0,224,0,0,,,,UNSAT,True
9,0.37037037037037035,30,729,14322,UNSAT,0.2790809120051563,1,209,0,209,0,0,,,,UNSAT,True
9,0.30864197530864196,25,729,14317,UNSAT,0.41620629699900746,1,388,0,388,0,0,,,,UNSAT,True
9,0.2222222222222222,18,729,14310,UNSAT,0.24515978299314156,1,174,0,174,0,0,,,,UNSAT,True
9,0.3333333333333333,27,729,14319,UNSAT,0.4695905499975197,1,561,0,561,0,0,,,,UNSAT,True
9,0.30864197530864196,25,729,14317,UNSAT,0.4088256430113688,1,384,0,384,0,0,,,,UNSAT,True
9,0.32098765432098764,26,729,14318,UNSAT,0.4841064250213094,1,704,0,704,0,0,,,,UNSAT,True
9,0.2839506172839506,23,729,14315,UNSAT,0.03693546599242836,1,16,0,16,0,0,,,,UNSAT,True
9,0.2962962962962963,24,729,14316,UNSAT,0.4244878979807254,1,427,0,427,0,0,,,,UNSAT,True
9,0.2716049382716049,22,729,14314,UNSAT,0.2187324780097697,1,151,0,151,0,0,,,,UNSAT,True
9,0.25925925925925924,21,729,14313,UNSAT,0.36018555698683485,1,310,0,310,0,0,,,,UNSAT,True
9,0.35802469135802467,29,729,14321,UNSAT,0.10411769701750018,1,63,0,63,0,0,,,,UNSAT,True
