size,clue_density,n_clues,num_vars,n_clauses,status,wall_time_s,dp_calls,unit_clause_checks,pure_literal_checks,remove_literal_calls,select_literal_calls,model_len,model_cnf_valid,model_semantic_valid,error,expected_status,is_correct
25,0.1904,119,15625,810219,UNSAT,12.92533967899999,1,140,0,140,0,0,,,,UNSAT,True
25,0.1856,116,15625,810216,UNSAT,5.611111515000175,1,55,0,55,0,0,,,,UNSAT,True
25,0.1984,124,15625,810224,UNSAT,12.781251308000265,1,138,0,138,0,0,,,,UNSAT,True
25,0.2208,138,15625,810238,UNSAT,16.107176841000182,1,175,0,175,0,0,,,,UNSAT,True
25,0.2048,128,15625,810228,UNSAT,35.61569544799977,1,405,0,405,0,0,,,,UNSAT,True
25,0.1904,119,15625,810219,UNSAT,14.46513455999957,1,156,0,156,0,0,,,,UNSAT,True
25,0.2016,126,15625,810226,UNSAT,65.53752725799995,1,755,0,755,0,0,,,,UNSAT,True
25,0.208,130,15625,810230,UNSAT,16.873679583000012,1,184,0,184,0,0,,,,UNSAT,True
25,0.216,135,15625,810235,UNSAT,4.543119398999806,1,43,0,43,0,0,,,,UNSAT,True
25,0.1856,116,15625,810216,UNSAT,29.189586855000016,1,331,0,331,0,0,,,,UNSAT,True
