size,clue_density,n_clues,num_vars,n_clauses,status,wall_time_s,dp_calls,unit_clause_checks,pure_literal_checks,remove_literal_calls,select_literal_calls,model_len,model_cnf_valid,model_semantic_valid,error,expected_status,is_correct
25,0.1872,117,15625,810217,UNSAT,418.8496577730002,1,6497,0,6497,0,0,,,,UNSAT,True
25,0.1904,119,15625,810219,UNSAT,270.17476755000007,1,3562,0,3562,0,0,,,,UNSAT,True
25,0.184,115,15625,810215,TIMEOUT,600.0000551889998,1,35568,510,35280,510,0,,,,SAT,False
25,0.192,120,15625,810220,TIMEOUT,600.0000524309999,1,32808,477,32520,477,0,,,,SAT,False
25,0.2192,137,15625,810237,TIMEOUT,600.0000516509999,1,34591,437,34330,437,0,,,,SAT,False
25,0.2,125,15625,810225,TIMEOUT,600.0000443449999,1,32996,459,32719,459,0,,,,SAT,False
25,0.1824,114,15625,810214,UNSAT,416.1169117009995,1,6469,0,6469,0,0,,,,UNSAT,True
25,0.216,135,15625,810235,UNSAT,161.85211922899998,1,1971,0,1971,0,0,,,,UNSAT,True
25,0.2112,132,15625,810232,TIMEOUT,600.0000478869988,1,36301,547,36055,547,0,,,,SAT,False
25,0.2096,131,15625,810231,UNSAT,256.34765761500057,1,3403,0,3403,0,0,,,,UNSAT,True
