size,clue_density,n_clues,num_vars,n_clauses,status,wall_time_s,dp_calls,unit_clause_checks,pure_literal_checks,remove_literal_calls,select_literal_calls,model_len,model_cnf_valid,model_semantic_valid,error,expected_status,is_correct
9,0.18518518518518517,15,729,14307,UNSAT,0.2784701019991189,1,248,0,248,0,0,,,,UNSAT,True
9,0.18518518518518517,15,729,14307,SAT,30.387866567994934,1,207597,4412,207691,4412,729,True,True,,SAT,True
9,0.25925925925925924,21,729,14313,UNSAT,0.3237617120030336,1,297,0,297,0,0,,,,UNSAT,True
9,0.2345679012345679,19,729,14311,UNSAT,0.39852049501496367,1,451,0,451,0,0,,,,UNSAT,True
9,0.1728395061728395,14,729,14306,UNSAT,0.03073435599799268,1,15,0,15,0,0,,,,UNSAT,True
9,0.1111111111111111,9,729,14301,TIMEOUT,120.00003560699406,1,841840,20800,842289,20800,0,,,,SAT,False
9,0.2345679012345679,19,729,14311,UNSAT,0.030293612013338134,1,14,0,14,0,0,,,,UNSAT,True
9,0.24691358024691357,20,729,14312,UNSAT,0.36809830099809915,1,355,0,355,0,0,,,,UNSAT,True
9,0.14814814814814814,12,729,14304,TIMEOUT,120.00003189599374,1,853409,20555,853967,20555,0,,,,SAT,False
9,0.1111111111111111,9,729,14301,TIMEOUT,120.000033068005,1,773150,18023,773546,18023,0,,,,SAT,False
9,0.14814814814814814,12,729,14304,TIMEOUT,120.00002959699486,1,872340,21158,872868,21158,0,,,,SAT,False
9,0.2345679012345679,19,729,14311,UNSAT,0.4217121910187416,1,491,0,491,0,0,,,,UNSAT,True
9,0.25925925925925924,21,729,14313,SAT,0.4521423510159366,1,729,0,729,0,729,True,True,,SAT,True
9,0.2222222222222222,18,729,14310,UNSAT,0.2585320469806902,1,211,0,211,0,0,,,,UNSAT,True
9,0.2345679012345679,19,729,14311,SAT,0.5093162799894344,1,1492,33,1488,33,729,True,True,,SAT,True
9,0.19753086419753085,16,729,14308,SAT,3.0732714899932034,1,19526,485,19462,485,729,True,True,,SAT,True
9,0.2222222222222222,18,729,14310,UNSAT,0.3873050799884368,1,388,0,388,0,0,,,,UNSAT,True
9,0.2222222222222222,18,729,14310,UNSAT,0.07398664500215091,1,45,0,45,0,0,,,,UNSAT,True
9,0.24691358024691357,20,729,14312,SAT,0.45025040101609193,1,729,0,729,0,729,True,True,,SAT,True
9,0.2345679012345679,19,729,14311,UNSAT,0.23015415700501762,1,181,0,181,0,0,,,,UNSAT,True
9,0.19753086419753085,16,729,14308,UNSAT,0.07331342500401661,1,45,0,45,0,0,,,,UNSAT,True
9,0.14814814814814814,12,729,14304,TIMEOUT,120.00002839401714,1,822505,22114,822936,22114,0,,,,SAT,False
9,0.24691358024691357,20,729,14312,UNSAT,0.2598239070212003,1,213,0,213,0,0,,,,UNSAT,True
9,0.2222222222222222,18,729,14310,SAT,0.45366859500063583,1,729,0,729,0,729,True,True,,SAT,True
9,0.14814814814814814,12,729,14304,UNSAT,0.027458661003038287,1,12,0,12,0,0,,,,UNSAT,True
9,0.2345679012345679,19,729,14311,UNSAT,0.2913572700053919,1,244,0,244,0,0,,,,UNSAT,True
9,0.1728395061728395,14,729,14306,SAT,40.73185146501055,1,291350,7263,291474,7263,729,True,True,,SAT,True
9,0.20987654320987653,17,729,14309,UNSAT,0.4302889789978508,1,512,0,512,0,0,,,,UNSAT,True
9,0.2345679012345679,19,729,14311,UNSAT,0.4305068519897759,1,519,0,519,0,0,,,,UNSAT,True
9,0.2345679012345679,19,729,14311,UNSAT,0.4051252969948109,1,442,0,442,0,0,,,,UNSAT,True
9,0.1728395061728395,14,729,14306,SAT,6.660414893005509,1,45837,1038,45827,1038,729,True,True,,SAT,True
9,0.24691358024691357,20,729,14312,UNSAT,0.3731121380114928,1,365,0,365,0,0,,,,UNSAT,True
9,0.2222222222222222,18,729,14310,SAT,0.4463973850070033,1,729,0,729,0,729,True,True,,SAT,True
9,0.20987654320987653,17,729,14309,SAT,0.44084970699623227,1,729,0,729,0,729,True,True,,SAT,True
9,0.24691358024691357,20,729,14312,UNSAT,0.30290107300970703,1,260,0,260,0,0,,,,UNSAT,True
9,0.20987654320987653,17,729,14309,UNSAT,0.23675596600514837,1,186,0,186,0,0,,,,UNSAT,True
9,0.25925925925925924,21,729,14313,SAT,0.45691984801669605,1,729,0,729,0,729,True,True,,SAT,True
9,0.18518518518518517,15,729,14307,TIMEOUT,120.00002746001701,1,891822,22188,892381,22188,0,,,,SAT,False
9,0.18518518518518517,15,729,14307,UNSAT,0.22301406899350695,1,162,0,162,0,0,,,,UNSAT,True
9,0.09876543209876543,8,729,14300,TIMEOUT,120.00010096398182,1,789785,21057,790177,21057,0,,,,SAT,False
9,0.2716049382716049,22,729,14314,SAT,0.45623992997570895,1,729,0,729,0,729,True,True,,SAT,True
9,0.20987654320987653,17,729,14309,SAT,0.4554983490088489,1,729,0,729,0,729,True,True,,SAT,True
9,0.14814814814814814,12,729,14304,TIMEOUT,120.00002972301445,1,834145,19488,834557,19488,0,,,,SAT,False
9,0.1728395061728395,14,729,14306,UNSAT,0.1555415430048015,1,109,0,109,0,0,,,,UNSAT,True
9,0.18518518518518517,15,729,14307,SAT,2.7516939969791565,1,18276,440,18275,440,729,True,True,,SAT,True
9,0.1728395061728395,14,729,14306,TIMEOUT,120.0000264350092,1,912308,21937,912905,21937,0,,,,SAT,False
9,0.20987654320987653,17,729,14309,UNSAT,0.030601395992562175,1,14,0,14,0,0,,,,UNSAT,True
9,0.14814814814814814,12,729,14304,TIMEOUT,120.00002558500273,1,887398,21374,887918,21374,0,,,,SAT,False
9,0.2839506172839506,23,729,14315,SAT,0.45636860199738294,1,729,0,729,0,729,True,True,,SAT,True
9,0.18518518518518517,15,729,14307,SAT,99.34657573100412,1,674519,16173,674853,16173,729,True,True,,SAT,True
9,0.2222222222222222,18,729,14310,SAT,0.4538836810097564,1,729,0,729,0,729,True,True,,SAT,True
9,0.20987654320987653,17,729,14309,UNSAT,0.32350182899972424,1,285,0,285,0,0,,,,UNSAT,True
9,0.14814814814814814,12,729,14304,TIMEOUT,120.00002183299512,1,818990,18881,819467,18881,0,,,,SAT,False
9,0.2222222222222222,18,729,14310,UNSAT,0.3576863580092322,1,327,0,327,0,0,,,,UNSAT,True
9,0.1728395061728395,14,729,14306,UNSAT,0.07903385601821356,1,49,0,49,0,0,,,,UNSAT,True
9,0.20987654320987653,17,729,14309,TIMEOUT,120.00002345102257,1,877441,22794,877979,22794,0,,,,SAT,False
9,0.18518518518518517,15,729,14307,SAT,30.72949483699631,1,193314,4894,193388,4894,729,True,True,,SAT,True
9,0.2839506172839506,23,729,14315,UNSAT,0.19642461801413447,1,141,0,141,0,0,,,,UNSAT,True
9,0.14814814814814814,12,729,14304,TIMEOUT,120.00002342500375,1,810348,19313,810816,19313,0,,,,SAT,False
9,0.18518518518518517,15,729,14307,SAT,115.32881924099638,1,796628,19948,797074,19948,729,True,True,,SAT,True
9,0.2839506172839506,23,729,14315,UNSAT,0.4537133699923288,1,608,0,608,0,0,,,,UNSAT,True
9,0.20987654320987653,17,729,14309,SAT,1.3881295059982222,1,9606,228,9595,228,729,True,True,,SAT,True
9,0.24691358024691357,20,729,14312,SAT,0.4487951869959943,1,729,0,729,0,729,True,True,,SAT,True
9,0.18518518518518517,15,729,14307,SAT,0.5411216180073097,1,1599,63,1557,63,729,True,True,,SAT,True
9,0.20987654320987653,17,729,14309,UNSAT,0.3243718990124762,1,284,0,284,0,0,,,,UNSAT,True
9,0.13580246913580246,11,729,14303,TIMEOUT,120.00002784500248,1,782831,18400,783085,18400,0,,,,SAT,False
9,0.2345679012345679,19,729,14311,SAT,0.4565248480066657,1,729,0,729,0,729,True,True,,SAT,True
